id,name,type,fixed_cashflow,processing_cashflow_per_unit,processing_capacity,latitude,longitude,altitude,location,open,geoId
dz_al,Alabama Demand Zone (US),dz,0,200,10000,32.327,-86.9,0,loc_al,True,AL
dz_ar,Arkansas Demand Zone (US),dz,0,200,10000,35.207,-91.838,0,loc_ar,True,AR
dz_az,Arizona Demand Zone (US),dz,0,200,10000,34.042,-111.094,0,loc_az,True,AZ
dz_ca,California Demand Zone (US),dz,0,200,10000,36.778,-119.408,0,loc_ca,True,CA
dz_co,Colorado Demand Zone (US),dz,0,200,10000,39.54,-105.78,0,loc_co,True,CO
dz_ct,Connecticut Demand Zone (US),dz,0,200,10000,41.598,-73.088,0,loc_ct,True,CT
dz_dc,District of Columbia Demand Zone (US),dz,0,200,10000,38.896,-77.028,0,loc_dc,True,DC
dz_de,Delaware Demand Zone (US),dz,0,200,10000,38.915,-75.519,0,loc_de,True,DE
dz_fl,Florida Demand Zone (US),dz,0,200,10000,27.661,-81.508,0,loc_fl,True,FL
dz_ga,Georgia Demand Zone (US),dz,0,200,10000,32.15,-82.911,0,loc_ga,True,GA
dz_ia,Iowa Demand Zone (US),dz,0,200,10000,41.871,-93.096,0,loc_ia,True,IA
dz_id,Idaho Demand Zone (US),dz,0,200,10000,44.076,-114.749,0,loc_id,True,ID
dz_il,Illinois Demand Zone (US),dz,0,200,10000,40.638,-89.403,0,loc_il,True,IL
dz_in,Indiana Demand Zone (US),dz,0,200,10000,40.542,-85.601,0,loc_in,True,IN
dz_ks,Kansas Demand Zone (US),dz,0,200,10000,39.022,-98.487,0,loc_ks,True,KS
dz_ky,Kentucky Demand Zone (US),dz,0,200,10000,37.843,-84.274,0,loc_ky,True,KY
dz_la,Louisiana Demand Zone (US),dz,0,200,10000,31.252,-92.144,0,loc_la,True,LA
dz_ma,Massachusetts Demand Zone (US),dz,0,200,10000,42.404,-71.382,0,loc_ma,True,MA
dz_md,Maryland Demand Zone (US),dz,0,200,10000,39.04,-76.648,0,loc_md,True,MD
dz_me,Maine Demand Zone (US),dz,0,200,10000,45.254,-69.44,0,loc_me,True,ME
dz_mi,Michigan Demand Zone (US),dz,0,200,10000,44.315,-85.601,0,loc_mi,True,MI
dz_mn,Minnesota Demand Zone (US),dz,0,200,10000,46.74,-94.69,0,loc_mn,True,MN
dz_mo,Missouri Demand Zone (US),dz,0,200,10000,37.961,-91.84,0,loc_mo,True,MO
dz_ms,Mississippi Demand Zone (US),dz,0,200,10000,32.356,-89.397,0,loc_ms,True,MS
dz_mt,Montana Demand Zone (US),dz,0,200,10000,46.887,-110.368,0,loc_mt,True,MT
dz_nc,North Carolina Demand Zone (US),dz,0,200,10000,35.75,-79.015,0,loc_nc,True,NC
dz_nd,North Dakota Demand Zone (US),dz,0,200,10000,47.542,-101.004,0,loc_nd,True,ND
dz_ne,Nebraska Demand Zone (US),dz,0,200,10000,41.501,-99.894,0,loc_ne,True,NE
dz_nh,New Hampshire Demand Zone (US),dz,0,200,10000,43.191,-71.572,0,loc_nh,True,NH
dz_nj,New Jersey Demand Zone (US),dz,0,200,10000,40.06,-74.407,0,loc_nj,True,NJ
dz_nm,New Mexico Demand Zone (US),dz,0,200,10000,34.97,-105.04,0,loc_nm,True,NM
dz_nv,Nevada Demand Zone (US),dz,0,200,10000,38.805,-116.41,0,loc_nv,True,NV
dz_ny,New York Demand Zone (US),dz,0,200,10000,43.293,-74.211,0,loc_ny,True,NY
dz_oh,Ohio Demand Zone (US),dz,0,200,10000,40.408,-82.902,0,loc_oh,True,OH
